=== CUSTOMER_KPIS ===
user_id;registered_at;id;deregistered_at
00000000-0000-0000-0000-000000000000;2024-11-01 10:00:00;90000000-0000-0000-0000-000000000000;
00000000-0000-0000-0000-000000000005;2024-11-15 09:30:00;90000000-0000-0000-0000-000000000001;
00000000-0000-0000-0000-000000000025;2024-12-01 12:00:00;90000000-0000-0000-0000-000000000002;2025-03-10 08:00:00
00000000-0000-0000-0000-000000000026;2025-01-10 14:45:00;90000000-0000-0000-0000-000000000003;
00000000-0000-0000-0000-000000000001;2025-02-05 16:20:00;90000000-0000-0000-0000-000000000004;
=== TRANSACTION_KPIS ===
user_id;amount;transaction_type;created_at;id
00000000-0000-0000-0000-000000000000;250.0;TRANSFER;2025-03-02 09:00:00;90000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000005;89.9;PURCHASE;2025-03-04 11:15:00;90000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000025;45.5;TRANSFER;2025-03-07 15:30:00;90000000-0000-0000-0000-000000000025
00000000-0000-0000-0000-000000000026;110.0;PURCHASE;2025-03-08 18:00:00;90000000-0000-0000-0000-000000000026
00000000-0000-0000-0000-000000000001;62.0;TRANSFER;2025-03-10 10:45:00;90000000-0000-0000-0000-000000000001
=== ORDER_KPIS ===
user_id;total_price;created_at;id
00000000-0000-0000-0000-000000000000;59.99;2025-03-01 13:20:00;90000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000001;129.9;2025-03-05 10:15:00;90000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000005;20.0;2025-03-09 17:40:00;90000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000025;79.5;2025-03-12 08:00:00;90000000-0000-0000-0000-000000000025
00000000-0000-0000-0000-000000000026;42.0;2025-03-15 12:05:00;90000000-0000-0000-0000-000000000026
=== PRODUCT_MOVEMENT_KPIS ===
product_id;movement_type;quantity;created_at;id
00000000-0000-0000-0000-000000000000;SOLD;2;2025-03-01 13:00:00;90000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000001;PURCHASED;10;2025-03-02 09:30:00;90000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000002;SOLD;1;2025-03-03 11:10:00;90000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000003;PURCHASED;5;2025-03-04 08:45:00;90000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000004;SOLD;3;2025-03-05 16:30:00;90000000-0000-0000-0000-000000000004
